"중구","회현동",계,5222,93,139,128,141,213,308,332,320,350,386,455,460,574,483,304,232,163,88,35,15,3
"중구","회현동",한국인,4544,71,104,102,115,182,270,294,245,269,320,402,404,516,447,286,224,156,86,33,15,3
"중구","회현동",외국인,678,22,35,26,26,31,38,38,75,81,66,53,56,58,36,18,8,7,2,2,-,-
"중구","명동",계,3638,46,80,74,104,255,314,335,249,295,243,312,274,279,282,178,134,107,49,22,6,-
"중구","명동",한국인,2739,35,43,53,83,135,201,214,165,198,189,240,210,240,257,164,130,106,48,22,6,-
"중구","명동",외국인,899,11,37,21,21,120,113,121,84,97,54,72,64,39,25,14,4,1,1,-,-,-
"중구","필동",계,4816,67,106,80,141,713,589,488,335,267,224,324,284,313,318,180,133,137,72,36,8,1
"중구","필동",한국인,3973,63,101,80,107,334,376,399,295,246,210,311,273,302,311,180,133,137,70,36,8,1
"중구","필동",외국인,843,4,5,-,34,379,213,89,40,21,14,13,11,11,7,-,-,-,2,-,-,-
"중구","장충동",계,5326,65,101,118,207,854,807,475,310,303,292,346,291,291,285,186,158,141,65,26,5,-
"중구","장충동",한국인,4571,51,88,105,178,614,603,404,269,275,257,328,273,271,278,184,158,139,65,26,5,-
"중구","장충동",외국인,755,14,13,13,29,240,204,71,41,28,35,18,18,20,7,2,-,2,-,-,-,-
"중구","광희동",계,6682,77,84,90,194,844,953,731,476,373,340,425,469,502,366,293,217,153,69,21,5,-
"중구","광희동",한국인,5202,51,62,74,117,395,676,587,371,299,275,358,384,463,350,282,214,150,69,20,5,-
"중구","광희동",외국인,1480,26,22,16,77,449,277,144,105,74,65,67,85,39,16,11,3,3,-,1,-,-
"중구","을지로동",계,1912,26,19,26,21,142,214,208,153,96,92,118,148,181,184,118,77,53,26,9,1,-
"중구","을지로동",한국인,1661,26,17,23,16,66,165,181,131,80,83,106,137,176,176,115,76,53,24,9,1,-
"중구","을지로동",외국인,251,-,2,3,5,76,49,27,22,16,9,12,11,5,8,3,1,-,2,-,-,-
"중구","신당5동",계,10513,235,285,234,281,657,1039,983,801,772,690,929,931,801,629,422,379,275,114,46,6,4
"중구","신당5동",한국인,10180,231,280,233,273,588,982,948,771,758,673,902,898,783,621,417,378,274,114,46,6,4
"중구","신당5동",외국인,333,4,5,1,8,69,57,35,30,14,17,27,33,18,8,5,1,1,-,-,-,-
"중구","황학동",계,13459,391,357,228,266,784,1605,1671,1392,1099,804,998,927,860,743,512,383,256,116,49,16,2
"중구","황학동",한국인,12604,363,334,215,239,656,1465,1568,1309,1045,771,934,846,824,712,506,381,253,116,49,16,2
"중구","황학동",외국인,855,28,23,13,27,128,140,103,83,54,33,64,81,36,31,6,2,3,-,-,-,-
"중구","중림동",계,12338,522,467,371,360,576,757,950,1188,1157,937,997,921,930,711,526,430,298,166,60,9,5
"중구","중림동",한국인,12009,507,456,365,356,537,735,909,1138,1123,905,979,896,916,705,520,427,297,164,60,9,5
"중구","중림동",외국인,329,15,11,6,4,39,22,41,50,34,32,18,25,14,6,6,3,1,2,-,-,-
"중구","신당동",계,9087,141,154,114,210,888,1220,908,651,583,547,755,714,685,500,369,295,208,90,44,11,-
"중구","신당동",한국인,7618,118,134,103,147,509,876,770,556,513,502,669,601,634,484,359,291,207,90,44,11,-
"중구","신당동",외국인,1469,23,20,11,63,379,344,138,95,70,45,86,113,51,16,10,4,1,-,-,-,-
"중구","다산동",계,13954,229,263,349,413,903,1462,1276,1002,917,932,1216,1035,1138,916,653,535,449,183,64,16,3
"중구","다산동",한국인,13474,222,248,336,399,821,1383,1217,956,889,892,1184,1006,1114,909,651,532,449,183,64,16,3
"중구","다산동",외국인,480,7,15,13,14,82,79,59,46,28,40,32,29,24,7,2,3,-,-,-,-,-
"중구","약수동",계,16610,403,533,471,457,795,1116,1185,1133,1232,1134,1362,1352,1436,1278,925,711,587,343,123,29,5
"중구","약수동",한국인,16395,402,524,463,443,780,1097,1167,1107,1211,1111,1341,1338,1431,1267,918,711,586,342,123,29,4
"중구","약수동",외국인,215,1,9,8,14,15,19,18,26,21,23,21,14,5,11,7,-,1,1,-,-,1
"중구","청구동",계,13451,322,341,371,429,733,1077,1176,1007,880,888,1173,1058,1152,926,618,515,462,225,73,21,4
"중구","청구동",한국인,13199,315,333,367,421,686,1041,1148,981,862,865,1150,1043,1147,924,617,515,462,225,72,21,4
"중구","청구동",외국인,252,7,8,4,8,47,36,28,26,18,23,23,15,5,2,1,-,-,-,1,-,-
"중구","동화동",계,10199,272,365,359,433,567,665,702,620,748,711,953,933,916,635,448,346,294,166,58,6,2
"중구","동화동",한국인,10024,267,358,355,430,548,645,679,594,732,704,944,916,903,633,446,345,293,166,58,6,2
"중구","동화동",외국인,175,5,7,4,3,19,20,23,26,16,7,9,17,13,2,2,1,1,-,-,-,-
"용산구","소계",계,233284,6019,7252,7421,8056,13547,20648,22474,19168,18662,16873,20230,17050,16847,13093,8778,6935,5776,3080,1097,237,41
"용산구","소계",한국인,218650,5498,6475,6704,7537,12560,19243,20719,17328,16919,15593,19039,16221,16336,12818,8622,6862,5741,3069,1094,232,40
"용산구","소계",외국인,14634,521,777,717,519,987,1405,1755,1840,1743,1280,1191,829,511,275,156,73,35,11,3,5,1
"성동구","소계",계,288234,8752,9695,8739,10155,19876,25669,24053,22830,22477,20465,24221,21574,22008,16592,11217,8920,6642,3132,966,201,50
"성동구","소계",한국인,281000,8637,9598,8668,9839,17823,24315,23353,22317,22071,20168,23776,21135,21770,16484,11172,8901,6637,3127,963,201,45
"성동구","소계",외국인,7234,115,97,71,316,2053,1354,700,513,406,297,445,439,238,108,45,19,5,5,3,-,5
"광진구","소계",계,351252,7052,9992,11717,13653,27763,38607,31972,24930,25443,25031,28987,26158,25876,19565,13086,9725,7125,3223,1051,252,44
"광진구","소계",한국인,337416,6764,9683,11511,12958,23990,36230,30691,24010,24775,24463,28156,25108,25340,19351,13004,9714,7111,3214,1049,252,42
"광진구","소계",외국인,13836,288,309,206,695,3773,2377,1281,920,668,568,831,1050,536,214,82,11,14,9,2,-,2
"동대문구","소계",계,353601,8316,10649,10919,12812,32800,34603,26702,23906,25344,23987,27638,24985,26472,21726,15486,12342,9156,4180,1263,260,55
"동대문구","소계",한국인,336644,8143,10499,10834,11900,25652,30577,25407,23160,24836,23572,27138,24459,26212,21602,15442,12325,9144,4169,1259,259,55
"동대문구","소계",외국인,16957,173,150,85,912,7148,4026,1295,746,508,415,500,526,260,124,44,17,12,11,4,1,-
"중랑구","소계",계,390140,9299,11382,11961,13123,21239,32249,31731,27209,28519,26872,33664,32894,35078,27149,18461,13598,9775,4204,1361,321,51
"중랑구","소계",한국인,385318,9108,11234,11846,12997,20715,31563,31058,26664,28158,26558,33250,32506,34871,27070,18424,13591,9773,4202,1358,321,51
"중랑구","소계",외국인,4822,191,148,115,126,524,686,673,545,361,314,414,388,207,79,37,7,2,2,3,-,-
"성북구","소계",계,441984,10791,15385,17141,20073,35788,36193,30421,29039,32835,34017,39172,31727,31927,25759,18327,14640,11450,5162,1713,372,52
"성북구","소계",한국인,430397,10629,15251,17040,19122,31609,33803,29319,28327,32347,33645,38817,31449,31746,25659,18286,14622,11438,5156,1710,371,51
"성북구","소계",외국인,11587,162,134,101,951,4179,2390,1102,712,488,372,355,278,181,100,41,18,12,6,3,1,1
"강북구","소계",계,297702,5156,7782,9376,10897,18634,22757,19447,17293,20596,22005,26828,24460,26164,21446,16340,13075,9809,4112,1211,270,44
"강북구","소계",한국인,293660,5071,7715,9337,10693,17730,22119,18991,16930,20318,21795,26601,24190,26000,21379,16301,13058,9805,4108,1208,269,42
"강북구","소계",외국인,4042,85,67,39,204,904,638,456,363,278,210,227,270,164,67,39,17,4,4,3,1,2
"도봉구","소계",계,313989,6249,9421,11053,12588,18056,22076,20074,18787,21772,22985,28638,26426,28866,23363,15931,12152,9496,4247,1445,322,42
"도봉구","소계",한국인,311694,6202,9387,11027,12481,17670,21719,19763,18539,21591,22836,28469,26281,28787,23328,15917,12149,9493,4246,1445,322,42
"도봉구","소계",외국인,2295,47,34,26,107,386,357,311,248,181,149,169,145,79,35,14,3,3,1,-,-,-
"노원구","소계",계,508014,11322,17108,22498,26859,35659,34239,32155,30576,37200,41785,47871,38851,39851,32075,21973,16419,12635,6171,2207,481,79
"노원구","소계",한국인,503734,11250,17057,22463,26647,34461,33406,31658,30220,36953,41583,47683,38664,39743,32025,21950,16407,12629,6169,2207,480,79
"노원구","소계",외국인,4280,72,51,35,212,1198,833,497,356,247,202,188,187,108,50,23,12,6,2,-,1,-
"은평구","소계",계,470602,10904,15035,17280,19373,26870,36877,35079,31886,36018,36592,41582,35749,37707,30111,21725,17020,12812,5864,1698,373,47
"은평구","소계",한국인,466746,10822,14951,17208,19263,26614,36413,34559,31384,35613,36324,41253,35415,37505,29995,21675,16994,12789,5856,1695,371,47
"은평구","소계",외국인,3856,82,84,72,110,256,464,520,502,405,268,329,334,202,116,50,26,23,8,3,2,-
"서대문구","소계",계,319554,7915,10747,10930,12591,26542,29774,24309,21969,23338,22760,26718,22912,23053,18056,12766,10699,8685,4143,1311,283,53
"서대문구","소계",한국인,306337,7815,10580,10747,11869,21706,27130,23207,21231,22713,22325,26274,22502,22736,17839,12642,10626,8641,4117,1306,279,52
"서대문구","소계",외국인,13217,100,167,183,722,4836,2644,1102,738,625,435,444,410,317,217,124,73,44,26,5,4,1
"마포구","소계",계,375585,9475,12590,13426,14571,26955,38272,34894,30323,30215,29203,31090,24872,23785,18252,12952,10546,8363,4070,1401,272,58
"마포구","소계",한국인,364638,9336,12395,13273,14136,24060,36061,33546,29438,29509,28762,30642,24432,23515,18048,12860,10509,8334,4061,1396,270,55
"마포구","소계",외국인,10947,139,195,153,435,2895,2211,1348,885,706,441,448,440,270,204,92,37,29,9,5,2,3
"양천구","소계",계,444010,9775,17388,24083,24769,25664,29613,27609,27310,35813,38930,41595,34475,34593,27404,18576,12285,8298,3966,1480,331,53
"양천구","소계",한국인,440881,9728,17327,24023,24718,25505,29319,27232,26936,35504,38644,41234,34064,34412,27317,18532,12273,8294,3960,1477,331,51
"양천구","소계",외국인,3129,47,61,60,51,159,294,377,374,309,286,361,411,181,87,44,12,4,6,3,-,2
"강서구","소계",계,574638,14509,19402,21196,22010,31094,52521,54147,44996,46438,42626,44641,39569,44361,36000,24600,16877,11458,5544,2070,502,77
"강서구","소계",한국인,569166,14350,19273,21121,21922,30812,51892,53354,44263,45899,42230,44128,39004,44038,35863,24532,16856,11446,5537,2068,501,77
"강서구","소계",외국인,5472,159,129,75,88,282,629,793,733,539,396,513,565,323,137,68,21,12,7,2,1,-
"구로구","소계",계,418418,11663,14137,14639,14705,21918,32620,34409,31450,32892,31309,35435,33597,33754,27304,19432,13889,9511,4095,1328,292,39
"구로구","소계",한국인,395315,10971,13384,14237,14400,21254,31577,32507,29058,30833,29311,32214,29330,31748,26320,19171,13822,9469,4070,1313,287,39
"구로구","소계",외국인,23103,692,753,402,305,664,1043,1902,2392,2059,1998,3221,4267,2006,984,261,67,42,25,15,5,-
"금천구","소계",계,242818,5338,6236,6638,7331,12901,24422,22659,17171,16563,16453,21038,21592,21548,15555,10801,7800,5527,2309,744,159,33
"금천구","소계",한국인,229642,4899,5800,6366,7182,12598,23817,21588,15849,15431,15272,19088,19101,20425,15099,10634,7767,5502,2299,738,155,32
"금천구","소계",외국인,13176,439,436,272,149,303,605,1071,1322,1132,1181,1950,2491,1123,456,167,33,25,10,6,4,1
"영등포구","소계",계,398085,11676,13177,12105,12218,21440,38130,40142,33362,30892,28089,32350,30393,29301,22330,15997,11776,8724,4317,1339,286,41
"영등포구","소계",한국인,375675,11077,12473,11689,11893,20719,36970,38434,31232,29021,26081,29257,26288,27192,21365,15680,11705,8672,4288,1326,273,40
"영등포구","소계",외국인,22410,599,704,416,325,721,1160,1708,2130,1871,2008,3093,4105,2109,965,317,71,52,29,13,13,1
"동작구","소계",계,390432,9155,12461,12776,14358,28799,39688,33533,27862,28920,27748,31277,27467,28157,22872,16900,13059,9251,4325,1428,335,61
"동작구","소계",한국인,380596,9021,12331,12684,13992,26142,38059,32706,27150,28431,27362,30607,26579,27660,22640,16827,13036,9241,4311,1424,335,58
"동작구","소계",외국인,9836,134,130,92,366,2657,1629,827,712,489,386,670,888,497,232,73,23,10,14,4,-,3
"관악구","소계",계,501226,8045,10661,11934,14899,39794,75236,54960,35171,33620,31779,36247,32569,33864,27424,21286,15989,11455,4536,1402,302,53
"관악구","소계",한국인,486752,7766,10398,11799,14529,37548,72767,53282,33964,32759,31007,35052,31013,33020,27038,21154,15953,11437,4520,1394,299,53
"관악구","소계",외국인,14474,279,263,135,370,2246,2469,1678,1207,861,772,1195,1556,844,386,132,36,18,16,8,3,-
"서초구","소계",계,408451,10993,18345,23049,21798,22806,28073,28905,28894,36386,37603,36644,27010,25598,22066,15839,11742,7305,3641,1345,355,54
"서초구","소계",한국인,404325,10886,18166,22880,21663,22500,27549,28361,28376,35923,37193,36314,26797,25489,22003,15814,11728,7297,3636,1344,353,53
"서초구","소계",외국인,4126,107,179,169,135,306,524,544,518,463,410,330,213,109,63,25,14,8,5,1,2,1
"강남구","소계",계,534103,11541,20908,30014,30275,30584,39035,39542,37583,47401,49664,48506,35116,32219,29094,21203,15322,9370,4400,1778,469,79
"강남구","소계",한국인,529102,11486,20834,29958,30137,29964,38028,38701,36951,46946,49344,48216,34873,32100,29011,21167,15305,9363,4395,1776,469,78
"강남구","소계",외국인,5001,55,74,56,138,620,1007,841,632,455,320,290,243,119,83,36,17,7,5,2,-,1
"송파구","소계",계,664514,19096,27284,29527,28993,36360,52093,54826,52191,56887,51737,55188,47787,48972,40361,26529,17693,10926,5402,2079,500,83
"송파구","소계",한국인,658801,18972,27148,29448,28904,36028,51377,54057,51439,56357,51290,54586,47165,48669,40230,26479,17679,10915,5398,2078,499,83
"송파구","소계",외국인,5713,124,136,79,89,332,716,769,752,530,447,602,622,303,131,50,14,11,4,1,1,-
"강동구","소계",계,464037,13978,18774,20061,19155,24473,34262,35429,34903,39738,35650,37672,34002,37600,30372,20346,13373,8457,3860,1519,342,71
"강동구","소계",한국인,460067,13887,18673,19984,19080,24217,33769,34905,34441,39385,35344,37258,33562,37371,30286,20304,13360,8454,3858,1517,342,70
"강동구","소계",외국인,3970,91,101,77,75,256,493,524,462,353,306,414,440,229,86,42,13,3,2,2,-,1
